Mes,Tendencia_Ingresos,Factor_Estacional,Ingresos,Ticket_medio,Tickets_dia,COGS_pct,Margen_bruto,Alquiler,Personal,Servicios,Marketing,Otros_fijos,EBITDA_antes_owner,Amortizacion,Intereses,EBT,Impuestos_15pct,Beneficio_neto,Ppal_deuda,Cash_flow_mensual,Caja_acumulada
1,9200,0.88,8096,5.9,52.8,26.5,5951,1225,3600,1020,600,40,-534,312,175,-1022,0,-1022,1112,-1647,9353
2,9527,0.9,8575,5.92,55.7,26.5,6302,1225,3600,1020,600,40,-183,312,171,-666,0,-666,1116,-1299,8054
3,9855,0.95,9362,5.95,60.6,26.5,6881,1225,3600,1020,600,40,396,312,167,-84,0,-84,1120,-724,7330
4,10182,1.0,10182,5.97,65.6,26.5,7484,1225,3600,1020,250,40,1349,312,163,873,131,742,1124,94,7424
5,10509,1.05,11035,5.99,70.8,26.5,8110,1225,3600,1020,250,40,1975,312,159,1504,226,1278,1128,622,8045
6,10836,1.12,12137,6.01,77.6,26.5,8920,1225,3600,1020,250,40,2785,312,155,2318,348,1970,1132,1306,9351
7,11164,1.15,12838,6.04,81.8,26.5,9436,1225,3600,1020,250,40,3301,312,151,2838,426,2412,1136,1739,11090
8,11491,1.05,12065,6.06,76.6,26.5,8868,1225,3600,1020,250,40,2733,312,147,2274,341,1933,1140,1252,12342
9,11818,1.02,12055,6.08,76.2,26.5,8860,1225,3600,1020,250,40,2725,312,143,2270,340,1929,1144,1240,13582
10,12145,0.95,11538,6.11,72.7,26.5,8481,1225,3600,1020,250,40,2346,312,139,1894,284,1610,1148,913,14495
11,12473,0.9,11225,6.13,70.4,26.5,8251,1225,3600,1020,250,40,2116,312,135,1669,250,1418,1153,713,15208
12,12800,0.95,12160,6.15,76.0,26.5,8938,1225,3600,1020,250,40,2803,312,131,2360,354,2006,1157,1292,16500
13,12800,0.88,11264,6.17,70.2,26.0,8335,1262,3780,1050,250,40,1954,312,126,1515,227,1287,1161,566,17066
14,13018,0.9,11716,6.2,72.7,26.0,8670,1262,3780,1050,250,40,2288,312,122,1854,278,1576,1165,845,17911
15,13236,0.95,12575,6.22,77.8,26.0,9305,1262,3780,1050,250,40,2923,312,118,2493,374,2119,1169,1380,19292
16,13455,1.0,13455,6.24,82.9,26.0,9956,1262,3780,1050,250,40,3575,312,114,3148,472,2676,1173,1929,21221
17,13673,1.05,14356,6.27,88.1,26.0,10624,1262,3780,1050,250,40,4242,312,110,3820,573,3247,1177,2492,23712
18,13891,1.12,15558,6.29,95.2,26.0,11513,1262,3780,1050,250,40,5131,312,106,4713,707,4006,1182,3242,26955
19,14109,1.15,16225,6.31,98.9,26.0,12007,1262,3780,1050,250,40,5625,312,101,5211,782,4430,1186,3658,30612
20,14327,1.05,15044,6.33,91.3,26.0,11132,1262,3780,1050,250,40,4751,312,97,4341,651,3690,1190,2909,33522
21,14545,1.02,14836,6.36,89.8,26.0,10979,1262,3780,1050,250,40,4597,312,93,4192,629,3563,1194,2774,36296
22,14764,0.95,14025,6.38,84.6,26.0,10379,1262,3780,1050,250,40,3997,312,89,3596,539,3057,1199,2259,38555
23,14982,0.9,13484,6.4,81.0,26.0,9978,1262,3780,1050,250,40,3596,312,84,3199,480,2719,1203,1913,40468
24,15200,0.95,14440,6.43,86.4,26.0,10686,1262,3780,1050,250,40,4304,312,80,3911,587,3325,1207,2510,42978
25,15200,0.88,13376,6.45,79.8,25.5,9965,1300,3970,1080,250,40,3326,312,76,2937,441,2497,343,2542,45520
26,15382,0.9,13844,6.47,82.3,25.5,10314,1300,3970,1080,250,40,3674,312,74,3287,493,2794,344,2836,48357
27,15564,0.95,14785,6.49,87.6,25.5,11015,1300,3970,1080,250,40,4376,312,73,3990,599,3392,346,3431,51788
28,15745,1.0,15745,6.52,92.9,25.5,11730,1300,3970,1080,250,40,5091,312,71,4707,706,4001,347,4037,55825
29,15927,1.05,16724,6.54,98.4,25.5,12459,1300,3970,1080,250,40,5820,312,70,5437,816,4621,349,4655,60480
30,16109,1.12,18042,6.56,105.7,25.5,13441,1300,3970,1080,250,40,6802,312,69,6421,963,5458,350,5489,65969
31,16291,1.15,18735,6.59,109.4,25.5,13957,1300,3970,1080,250,40,7318,312,67,6938,1041,5897,352,5925,71894
32,16473,1.05,17296,6.61,100.7,25.5,12886,1300,3970,1080,250,40,6246,312,66,5868,880,4988,353,5013,76907
33,16655,1.02,16988,6.63,98.5,25.5,12656,1300,3970,1080,250,40,6016,312,64,5640,846,4794,355,4816,81723
34,16836,0.95,15995,6.65,92.4,25.5,11916,1300,3970,1080,250,40,5276,312,63,4901,735,4166,356,4185,85908
35,17018,0.9,15316,6.68,88.2,25.5,11411,1300,3970,1080,250,40,4771,312,61,4397,660,3738,358,3754,89662
36,17200,0.95,16340,6.7,93.8,25.5,12173,1300,3970,1080,250,40,5534,312,60,5161,774,4387,359,4400,94062

SUPUESTOS CLAVE
Dias_apertura_mes,26,"6 dias/semana, cierra lunes"
Ticket_medio,5.90 a 6.70 EUR,crece lineal en 36 meses
Capacidad,25 interior + ~28 terraza,
Estacionalidad,+/-15 pct,"jul-ago altos, ene-feb duros (Puerto de Sagunto)"
COGS,26.5 pct base,"bebidas ~18 pct, comida ~34 pct, otros ~45 pct"
Personal,3.600 EUR/mes,1 barista FTE + part-time picos; salario fundador NO incluido (se retribuye del resultado)
Servicios+varios,1.020 EUR/mes,"luz, agua, basura, internet, TPV, asesoria, seguro, mantenimiento"
Alquiler,1.225 EUR/mes,pendiente de validar con casero (+3 pct/anio)
Depreciacion,313 EUR/mes,CAPEX 30.000 / 8 anios (no afecta caja)
Prestamo_SGR,26.000 / 6 anios @5 pct,cuota ~416 EUR/mes
Nota_vendedor,20.000 / 24 meses @4 pct,~868 EUR/mes; otros 20.000 se pagan upfront
Caja_inicial,11.000,WC post-inversion (incluye subvencion)
IVA,cifras sin IVA,"food 10 pct, bebidas segun categoria"
